content_dup_score,lexical_similarity_score,semantic_dup_score,semantic_similarity_score,temporal_burst_score,posting_freq_per_hour,sna_out_deg,sna_in_deg
0.3316,0.008,0.8092543,0.38563088,1.0,2,2.0,0.0
0.6662,0.0179,0.79042095,0.40095502,1.0,1,1.0,1.0
0.3559,0.0052,0.66762704,0.35368422,1.0,1,0.0,0.0
0.3285,0.0114,0.7413713,0.32827717,0.6666666666666666,2,0.0,1.0
0.2705,0.0134,0.7839989,0.40624022,1.0,1,1.0,0.0
0.4082,0.0115,0.7194191,0.2552672,1.0,1,1.0,0.0
0.3733,0.0145,0.73376334,0.3507167,1.0,1,0.0,0.0
0.3282,0.0215,0.72290313,0.3667014,1.0,2,2.0,0.0
0.5321,0.0285,0.7690433,0.3350263,0.5,1,0.0,0.0
0.347,0.0061,0.615914,0.33304647,1.0,1,0.0,0.0
0.2416,0.0147,0.63226914,0.27647966,1.0,1,0.0,0.0
0.4021,0.0136,0.66462386,0.2934089,0.5,1,2.0,0.0
0.253,0.0146,0.67830783,0.37039945,1.0,1,0.0,0.0
1.0,0.0173,1.0000004,0.36745396,0.3333333333333333,1,0.0,0.0
0.5191,0.0105,0.65569127,0.15794452,1.0,1,0.0,0.0
0.4199,0.0105,0.710171,0.29133433,1.0,1,0.0,0.0
0.5657,0.0032,0.5695389,0.27675718,1.0,1,0.0,0.0
0.3118,0.0106,0.66526574,0.27073908,0.5,1,2.0,0.0
0.357,0.0118,0.66901886,0.2937235,1.0,1,0.0,0.0
0.3546,0.0131,0.557975,0.24417931,1.0,2,2.0,0.0
0.6679,0.0017,0.84865034,0.29539093,1.0,1,0.0,0.0
0.2705,0.0095,0.69299334,0.28825554,1.0,1,0.0,0.0
0.2099,0.0178,0.7743162,0.3864939,1.0,1,0.0,0.0
0.6019,0.021,0.7355926,0.36522844,1.0,1,0.0,0.0
0.336,0.0268,0.72959447,0.3726563,1.0,2,2.0,0.0
0.3886,0.0147,0.6927748,0.40155655,1.0,2,2.0,0.0
0.3753,0.033,0.7611474,0.39699653,1.0,2,2.0,0.0
0.6437,0.0373,0.94714737,0.4517325,0.6666666666666666,4,5.0,0.0
0.3227,0.007,0.58271587,0.2508562,1.0,1,1.0,0.0
0.3395,0.0088,0.6979971,0.35280436,1.0,1,0.0,0.0
0.24,0.0169,0.80308115,0.41196796,1.0,3,2.0,0.0
0.6303,0.0183,0.6719106,0.19703051,1.0,2,0.0,0.0
0.531,0.0231,0.69539624,0.29035652,1.0,1,1.0,0.0
0.5638,0.0015,0.5593008,0.20584457,1.0,2,0.0,0.0
0.2616,0.0192,0.8034821,0.39871532,1.0,1,1.0,0.0
0.3762,0.0157,0.8984697,0.411539,1.0,1,0.0,0.0
0.3423,0.0101,0.72778225,0.3049988,0.5,1,2.0,0.0
0.595,0.021,0.76360345,0.4289342,1.0,2,0.0,0.0
0.6335,0.0055,0.8830627,0.2827675,1.0,1,1.0,0.0
0.7266,0.0158,0.77919674,0.41728842,1.0,1,0.0,0.0
0.3182,0.0109,0.6551367,0.35463858,1.0,1,1.0,0.0
0.3827,0.0191,0.69477576,0.3381175,1.0,1,0.0,2.0
0.4754,0.0044,0.9043406,0.43616968,1.0,1,0.0,0.0
0.3201,0.0109,0.79025006,0.3650689,1.0,1,1.0,0.0
0.5988,0.02,0.81963897,0.41196927,1.0,1,1.0,0.0
0.4067,0.0372,0.77135634,0.46495214,1.0,1,0.0,0.0
0.5799,0.015,0.8657713,0.4527899,1.0,1,0.0,0.0
0.3596,0.019,0.8623805,0.47497293,1.0,1,0.0,0.0
0.309,0.0256,0.6975845,0.3513238,1.0,2,1.0,0.0
0.3896,0.0132,0.8336412,0.3709685,0.6666666666666666,2,1.0,1.0
0.2261,0.0054,0.7810588,0.3111811,1.0,1,0.0,0.0
0.3041,0.0239,0.6872611,0.32979465,1.0,2,2.0,0.0
0.3069,0.0224,0.64274955,0.26828995,1.0,1,0.0,0.0
0.467,0.0038,0.9043406,0.38674426,1.0,1,0.0,0.0
0.4775,0.0235,0.8437987,0.38812068,1.0,1,1.0,0.0
0.3059,0.006,0.7339362,0.26800877,1.0,1,0.0,0.0
0.604,0.0135,0.9237424,0.39334497,1.0,1,0.0,0.0
0.5693,0.0163,0.9236231,0.48303893,1.0,1,0.0,0.0
0.3625,0.0207,0.6947025,0.36703256,1.0,1,0.0,0.0
0.2742,0.0175,0.72798884,0.37941617,1.0,1,1.0,0.0
0.7725,0.0059,0.9216746,0.2589751,1.0,1,0.0,0.0
0.4619,0.0088,0.65784276,0.30130386,1.0,1,0.0,0.0
0.3866,0.0062,0.9195069,0.39548904,1.0,1,0.0,0.0
0.0,0.0,0.8688333,0.27479902,1.0,1,1.0,0.0
0.4556,0.0109,0.61406964,0.15598387,1.0,1,0.0,0.0
0.4928,0.032,0.75108564,0.3285583,1.0,2,0.0,0.0
0.0,0.0,0.5523244,0.1595737,1.0,1,1.0,0.0
0.3588,0.0133,0.5523244,0.15036012,0.5,1,1.0,0.0
0.7759,0.0126,0.697299,0.33895475,1.0,3,2.0,0.0
0.3897,0.0185,0.7374759,0.3128239,1.0,1,1.0,0.0
0.7799,0.0093,0.5692452,0.21530376,1.0,1,0.0,0.0
0.2976,0.0064,0.60455424,0.27653202,1.0,2,2.0,0.0
0.2657,0.0064,0.57586277,0.2707958,1.0,1,0.0,0.0
0.2937,0.0137,0.58956015,0.3072128,0.5,1,0.0,0.0
0.4652,0.0106,0.69151044,0.30069602,1.0,1,0.0,0.0
0.3899,0.0144,0.7077091,0.34559733,1.0,2,0.0,0.0
0.2681,0.0138,0.83311796,0.3751835,1.0,1,0.0,0.0
0.4928,0.021,0.8047563,0.45731732,1.0,1,1.0,0.0
0.4656,0.0107,0.7189188,0.32168165,1.0,1,0.0,0.0
0.4457,0.0112,0.7938155,0.4025224,1.0,2,0.0,0.0
0.2697,0.0145,0.6043127,0.22676006,1.0,1,1.0,0.0
0.4223,0.0071,0.59477705,0.19766228,1.0,1,1.0,0.0
0.255,0.0223,0.8153194,0.42616478,0.5,1,0.0,0.0
0.4439,0.0124,0.7240248,0.34818426,1.0,1,0.0,0.0
0.528,0.0191,0.7377802,0.4142791,1.0,2,1.0,0.0
0.4258,0.0192,0.78519976,0.37027538,1.0,1,1.0,0.0
0.4169,0.0038,0.5253625,0.16373046,1.0,1,0.0,0.0
0.7759,0.0175,0.7950894,0.38105842,1.0,3,2.0,0.0
0.625,0.0119,0.68293965,0.3318611,1.0,1,0.0,0.0
0.6124,0.0083,0.82401186,0.35784984,1.0,1,0.0,0.0
0.4779,0.0109,0.5694906,0.32389584,0.3333333333333333,1,3.0,1.0
0.2538,0.0059,0.6816437,0.347337,1.0,1,1.0,0.0
0.3891,0.0119,0.8130597,0.39432317,1.0,1,1.0,0.0
0.9376,0.0158,0.9581189,0.2901494,1.0,1,0.0,0.0
0.3454,0.0156,0.7458838,0.35845855,1.0,1,0.0,0.0
0.5159,0.0088,0.8645649,0.42008618,1.0,1,0.0,0.0
0.3231,0.0183,0.612608,0.21803539,1.0,1,1.0,0.0
0.3557,0.0188,0.75397015,0.3994248,1.0,1,0.0,0.0
0.3001,0.0179,0.7955937,0.40884653,0.5,1,2.0,0.0
0.371,0.0093,0.7612339,0.4442186,0.5,1,1.0,0.0
0.3704,0.0038,0.85421777,0.43148053,1.0,1,1.0,0.0
0.6333,0.0112,0.7395983,0.27987397,1.0,1,0.0,0.0
0.5232,0.007,0.7460891,0.27609506,1.0,1,1.0,0.0
0.4762,0.0074,0.8133566,0.33842024,1.0,1,0.0,0.0
0.625,0.007,0.6181384,0.28168306,1.0,1,1.0,0.0
