username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,lexical_similarity_score_mean,temporal_burst_score_max,posting_freq_per_hour_max,sna_out_deg_max,sna_in_deg_max,sna_betweenness_max,buzzer_label
rahayu49384,0.9990552,0.9922094,6,6,0.6666,0.023716666666666664,1.0,6,5.0,0.0,0.0,Buzzer
PutriRahma32820,0.9990345,0.98718625,6,6,0.6709,0.0232,0.8333333333333334,5,5.0,0.0,0.0,Buzzer
ayoitsmoy,0.99892384,0.87803,4,3,0.5994,0.018175,0.75,3,3.0,0.0,0.0,Buzzer
andybalala19,0.9988514,0.71965796,6,4,0.7314,0.025366666666666666,0.6666666666666666,4,5.0,0.0,0.0,Buzzer
Ginanadia67421,0.9988255,0.968507,4,4,0.7017,0.02005,0.75,3,3.0,0.0,0.0,Buzzer
NganjukSun23590,0.9988171,0.997893,5,5,0.8445,0.026600000000000002,0.8,4,4.0,0.0,0.0,Buzzer
Adiety333,0.99880755,0.8341727,6,5,0.6536,0.02413333333333333,0.8333333333333334,5,5.0,0.0,0.0,Buzzer
Ranti130920,0.99877256,0.7804502,4,3,0.8088,0.018325,0.75,3,3.0,0.0,0.0,Buzzer
rpramestaa12,0.9987544,0.99304694,6,6,0.7423,0.02576666666666667,0.6666666666666666,4,5.0,0.0,0.0,Buzzer
JancokAsu893230,0.9987393,0.99258953,6,6,1.0,0.020216666666666668,0.8333333333333334,5,5.0,0.0,0.0,Buzzer
MRidhonew16179,0.9987066,0.9956959,5,5,1.0,0.02402,0.8,4,4.0,0.0,0.0,Buzzer
indahsarii54648,0.99868935,0.5159761,4,2,0.7025,0.01985,0.75,3,3.0,0.0,0.0,Buzzer
VinaAmelia33281,0.99860555,0.9956527,3,3,0.6895,0.022633333333333335,1.0,3,3.0,0.0,0.0,Buzzer
dvrtlngi,0.9984584,0.99788684,4,4,0.7017,0.021175,1.0,4,3.0,0.0,0.0,Buzzer
carapaklek,0.9984559,0.9116652,9,8,1.0,0.020733333333333336,0.7777777777777778,7,8.0,0.0,0.0,Buzzer
dh74169970,0.99811363,0.9800162,3,3,0.6324,0.02363333333333333,1.0,3,3.0,0.0,0.0,Buzzer
ikaikuikok,0.99806565,0.9429407,3,3,0.5278,0.0151,0.6666666666666666,2,2.0,0.0,0.0,Buzzer
hilyazu,0.9979394,0.5049821,5,2,0.7613,0.017759999999999998,0.8,4,4.0,0.0,0.0,Buzzer
EndiD21883,0.9979145,0.9938108,2,2,0.7017,0.01535,1.0,2,1.0,0.0,0.0,Buzzer
AlinGibroez,0.99790895,0.9858289,6,6,1.0,0.023583333333333335,0.8333333333333334,5,5.0,0.0,0.0,Buzzer
Deewwiiiii,0.9978388,0.88483477,10,9,1.0,0.015590000000000001,0.7,7,9.0,0.0,0.0,Buzzer
noviarguna72100,0.997769,0.7857538,9,7,1.0,0.019455555555555556,0.6666666666666666,6,7.0,0.0,0.0,Buzzer
Alizazaina94321,0.99733317,0.9834145,6,6,0.5851,0.017633333333333334,1.0,6,5.0,0.0,0.0,Buzzer
rinimaulida008,0.9973097,0.994766,2,2,0.6822,0.02215,1.0,2,1.0,0.0,0.0,Buzzer
Nisarahman2327,0.9972262,0.97239214,3,3,1.0,0.016066666666666667,0.6666666666666666,2,1.0,0.0,0.0,Buzzer
AbcDef38782297,0.99703133,0.99703133,1,1,0.5746,0.0155,1.0,1,0.0,0.0,0.0,Buzzer
Fatiyazean,0.9968966,0.6648826,3,2,0.7423,0.0192,0.6666666666666666,2,2.0,0.0,0.0,Buzzer
racunserudotcom,0.9966131,0.5058037,2,1,0.5896,0.021449999999999997,0.5,1,1.0,0.0,0.0,Buzzer
Alvaro734877,0.9966079,0.9861946,4,4,0.8778,0.020175,1.0,4,4.0,0.0,0.0,Buzzer
Bbiyaku,0.9965892,0.9965892,1,1,0.6551,0.0173,1.0,1,0.0,0.0,0.0,Buzzer
yuka_riza,0.9965312,0.9965312,1,1,0.6551,0.0174,1.0,1,0.0,0.0,0.0,Buzzer
stefanyreza2000,0.99614465,0.99614465,1,1,0.6334,0.0131,1.0,1,0.0,0.0,0.0,Buzzer
DazzZulia,0.996088,0.7374568,4,3,0.783,0.021475,0.5,2,3.0,0.0,0.0,Buzzer
asep2b,0.99528027,0.9943263,2,2,0.5131,0.01435,0.5,1,1.0,0.0,0.0,Buzzer
FitriyaniT15600,0.99471825,0.99471825,1,1,0.4592,0.0164,1.0,1,0.0,0.0,0.0,Buzzer
SPayanadi,0.9946567,0.9946567,1,1,0.5693,0.0163,1.0,1,0.0,0.0,0.0,Buzzer
mintozaki75,0.9946485,0.7226817,3,1,0.5565,0.021133333333333334,1.0,3,2.0,0.0,0.0,Buzzer
bobbymenra,0.99389476,0.50667495,2,1,0.4896,0.014100000000000001,1.0,2,1.0,0.0,0.0,Buzzer
Reejanuari,0.99378526,0.99378526,1,1,0.7847,0.0164,1.0,1,0.0,0.0,0.0,Buzzer
mrplent21,0.9932499,0.9932499,1,1,0.5709,0.0137,1.0,1,0.0,0.0,0.0,Buzzer
RizkyArdia29527,0.993236,0.993236,1,1,0.5896,0.0155,1.0,1,0.0,0.0,0.0,Buzzer
Florestone16736,0.99304813,0.87689745,2,1,1.0,0.0118,1.0,2,1.0,0.0,0.0,Buzzer
odeng9222,0.9926319,0.9926319,1,1,0.604,0.0153,1.0,1,0.0,0.0,0.0,Buzzer
yani09842577669,0.9926311,0.99029255,2,2,0.7017,0.0288,1.0,2,1.0,0.0,0.0,Buzzer
yolaisabella,0.99214524,0.99214524,1,1,0.5668,0.0177,1.0,1,0.0,0.0,0.0,Buzzer
Emmeliachr59881,0.99140877,0.9388454,2,2,0.6666,0.021900000000000003,0.5,1,1.0,0.0,0.0,Buzzer
annisanurf23196,0.9903453,0.9903453,1,1,0.6626,0.0138,1.0,1,0.0,0.0,0.0,Buzzer
refiandryy,0.990324,0.990324,1,1,0.7847,0.0138,1.0,1,0.0,0.0,0.0,Buzzer
