Source,Target,Weight,Type
Adiety333,RRDelusi,1,Directed
Adiety333,kukuhya,1,Directed
Adiety333,mog_mediaa,1,Directed
Adiety333,rayrestufauzi,1,Directed
AlinGibroez,RRDelusi,1,Directed
AlinGibroez,badakmeledak_,1,Directed
AlinGibroez,kerissakti,1,Directed
AlinGibroez,kukuhya,1,Directed
AlinGibroez,rayrestufauzi,1,Directed
Alizazaina94321,cryofantasia,1,Directed
Alizazaina94321,junwatu,1,Directed
Alizazaina94321,kerissakti,1,Directed
Alizazaina94321,mog_mediaa,1,Directed
Alizazaina94321,rayrestufauzi,1,Directed
Alvaro734877,RRDelusi,1,Directed
Alvaro734877,cryofantasia,1,Directed
Alvaro734877,kerissakti,1,Directed
Alvaro734877,kukuhya,1,Directed
Baliho821,MoRifky,1,Directed
Dadangsutrisn0,junwatu,1,Directed
DazzZulia,badakmeledak_,1,Directed
DazzZulia,rayrestufauzi,1,Directed
Deewwiiiii,RRDelusi,1,Directed
Deewwiiiii,badakmeledak_,1,Directed
Deewwiiiii,ezash,1,Directed
Deewwiiiii,iPoopBased,1,Directed
Deewwiiiii,junwatu,1,Directed
Deewwiiiii,kerissakti,1,Directed
Deewwiiiii,kukuhya,1,Directed
Deewwiiiii,rayrestufauzi,1,Directed
Emmeliachr59881,junwatu,1,Directed
EndiD21883,cryofantasia,1,Directed
Fatiyazean,mog_mediaa,1,Directed
Ginanadia67421,badakmeledak_,1,Directed
Ginanadia67421,ezash,1,Directed
Ginanadia67421,rayrestufauzi,1,Directed
Giskaelvina,RRDelusi,1,Directed
Giskaelvina,kukuhya,1,Directed
JancokAsu893230,RRDelusi,1,Directed
JancokAsu893230,cryofantasia,1,Directed
JancokAsu893230,kerissakti,1,Directed
JancokAsu893230,kukuhya,1,Directed
JancokAsu893230,rayrestufauzi,1,Directed
MRidhonew16179,kerissakti,1,Directed
MRidhonew16179,kukuhya,1,Directed
MRidhonew16179,mog_mediaa,1,Directed
MRidhonew16179,rayrestufauzi,1,Directed
NganjukSun23590,RRDelusi,1,Directed
NganjukSun23590,junwatu,1,Directed
NganjukSun23590,mog_mediaa,1,Directed
NganjukSun23590,rayrestufauzi,1,Directed
Nisarahman2327,kerissakti,2,Directed
PutriRahma32820,RRDelusi,1,Directed
PutriRahma32820,ezash,1,Directed
PutriRahma32820,kukuhya,1,Directed
PutriRahma32820,mog_mediaa,1,Directed
PutriRahma32820,rayrestufauzi,1,Directed
Ranti130920,junwatu,1,Directed
Ranti130920,kukuhya,1,Directed
ReisaAmeli42101,RRDelusi,1,Directed
SidikHamdani96,RRDelusi,1,Directed
SidikHamdani96,kukuhya,1,Directed
VinaAmelia33281,RRDelusi,1,Directed
VinaAmelia33281,junwatu,1,Directed
VinaAmelia33281,kerissakti,1,Directed
ZaskiaZask2031,RRDelusi,1,Directed
andybalala19,junwatu,1,Directed
andybalala19,kukuhya,1,Directed
andybalala19,mog_mediaa,1,Directed
andybalala19,rayrestufauzi,1,Directed
asep2b,kukuhya,1,Directed
ayoitsmoy,junwatu,1,Directed
ayoitsmoy,kukuhya,1,Directed
carapaklek,RRDelusi,1,Directed
carapaklek,cryofantasia,1,Directed
carapaklek,junwatu,1,Directed
carapaklek,kerissakti,1,Directed
carapaklek,kukuhya,1,Directed
carapaklek,mog_mediaa,1,Directed
carapaklek,rayrestufauzi,1,Directed
dh74169970,RRDelusi,1,Directed
dh74169970,kerissakti,1,Directed
dh74169970,rayrestufauzi,1,Directed
dvrtlngi,RRDelusi,1,Directed
dvrtlngi,cryofantasia,1,Directed
dvrtlngi,rayrestufauzi,1,Directed
dwi_wahyu007,mog_mediaa,1,Directed
grok,ZonaKitten,1,Directed
hilyazu,cryofantasia,1,Directed
ikaikuikok,ezash,1,Directed
ikaikuikok,kerissakti,1,Directed
indahsarii54648,RRDelusi,1,Directed
mintozaki75,kukuhya,1,Directed
mpandu_nky,AADGPodcast,1,Directed
mpandu_nky,PHN316,1,Directed
noviarguna72100,RRDelusi,1,Directed
noviarguna72100,junwatu,2,Directed
noviarguna72100,kukuhya,1,Directed
noviarguna72100,mog_mediaa,1,Directed
noviarguna72100,rayrestufauzi,1,Directed
rahayu49384,RRDelusi,1,Directed
rahayu49384,badakmeledak_,1,Directed
rahayu49384,cryofantasia,1,Directed
rahayu49384,junwatu,1,Directed
rahayu49384,rayrestufauzi,1,Directed
rinimaulida008,kukuhya,1,Directed
rpramestaa12,RRDelusi,1,Directed
rpramestaa12,ezash,1,Directed
rpramestaa12,kukuhya,1,Directed
rpramestaa12,mog_mediaa,1,Directed
rpramestaa12,rayrestufauzi,1,Directed
ssigitpermana98,kerissakti,1,Directed
wijayawilliam31,kurawa,1,Directed
yani09842577669,RRDelusi,1,Directed
