Id,Label,username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,temporal_burst_score_max,sna_out_deg_max,sna_in_deg_max,posting_freq_per_hour_max,binary_label_gephi
00w011,00w011,00w011,0.0347413904964923,0.0184591226279735,2,0,0.6597,1.0,2.0,0.0,2.0,Non-Buzzer
01nm2_,01nm2_,01nm2_,0.7786880135536194,0.7786880135536194,1,0,0.771,1.0,0.0,0.0,1.0,Non-Buzzer
0p_py,0p_py,0p_py,0.1534432768821716,0.1053590178489685,2,0,1.0,0.5,0.0,0.0,1.0,Non-Buzzer
0xfrsmln,0xfrsmln,0xfrsmln,0.0043644928373396,0.0043644928373396,1,0,0.3849,1.0,1.0,0.0,1.0,Non-Buzzer
101107mma,101107mma,101107mma,0.002624369924888,0.002624369924888,1,0,0.2627,1.0,1.0,0.0,1.0,Non-Buzzer
13_zae,13_zae,13_zae,0.0052528232336044,0.0052528232336044,1,0,0.3214,1.0,0.0,0.0,1.0,Non-Buzzer
15sketsa,15sketsa,15sketsa,0.696821391582489,0.696821391582489,1,0,0.8293,1.0,0.0,0.0,1.0,Non-Buzzer
1RONiC_,1RONiC_,1RONiC_,0.0202856939285993,0.0202856939285993,1,0,0.2817,1.0,1.0,0.0,1.0,Non-Buzzer
1ladytypeofguy,1ladytypeofguy,1ladytypeofguy,0.0015169574180617,0.0015169574180617,1,0,0.3641,1.0,0.0,0.0,1.0,Non-Buzzer
1q5_nungha,1q5_nungha,1q5_nungha,0.0021723702084273,0.0021723702084273,1,0,0.4337,1.0,1.0,0.0,1.0,Non-Buzzer
3000inuniverse,3000inuniverse,3000inuniverse,0.0204718522727489,0.0204718522727489,1,0,0.5555,1.0,0.0,0.0,1.0,Non-Buzzer
386_hana,386_hana,386_hana,0.0011792313307523,0.0011792313307523,1,0,0.4726,1.0,0.0,0.0,1.0,Non-Buzzer
4wallsnet,4wallsnet,4wallsnet,0.0008138232515193,0.0008138232515193,1,0,0.3351,1.0,0.0,0.0,1.0,Non-Buzzer
