Id,Label,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,binary_label_gephi,sna_out_deg_max,sna_in_deg_max,content_dup_score_max,temporal_burst_score_max,in_degree,out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,eigenvector_centrality
00w011,00w011,0.034741390496492386,0.018459122627973557,2,0,Non-Buzzer,2.0,0.0,0.6597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01nm2_,01nm2_,0.7786880135536194,0.7786880135536194,1,0,Non-Buzzer,0.0,0.0,0.771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0p_py,0p_py,0.15344327688217163,0.1053590178489685,2,0,Non-Buzzer,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xfrsmln,0xfrsmln,0.00436449283733964,0.00436449283733964,1,0,Non-Buzzer,1.0,0.0,0.3849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101107mma,101107mma,0.002624369924888015,0.002624369924888015,1,0,Non-Buzzer,1.0,0.0,0.2627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_zae,13_zae,0.005252823233604431,0.005252823233604431,1,0,Non-Buzzer,0.0,0.0,0.3214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15sketsa,15sketsa,0.696821391582489,0.696821391582489,1,0,Non-Buzzer,0.0,0.0,0.8293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1RONiC_,1RONiC_,0.020285693928599358,0.020285693928599358,1,0,Non-Buzzer,1.0,0.0,0.2817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ladytypeofguy,1ladytypeofguy,0.0015169574180617929,0.0015169574180617929,1,0,Non-Buzzer,0.0,0.0,0.3641,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1q5_nungha,1q5_nungha,0.00217237020842731,0.00217237020842731,1,0,Non-Buzzer,1.0,0.0,0.4337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000inuniverse,3000inuniverse,0.020471852272748947,0.020471852272748947,1,0,Non-Buzzer,0.0,0.0,0.5555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386_hana,386_hana,0.0011792313307523727,0.0011792313307523727,1,0,Non-Buzzer,0.0,0.0,0.4726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4wallsnet,4wallsnet,0.0008138232515193522,0.0008138232515193522,1,0,Non-Buzzer,0.0,0.0,0.3351,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5adnile8,5adnile8,0.26966652274131775,0.13835375010967255,2,0,Non-Buzzer,2.0,1.0,0.6108,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
