conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,word_count_lang_source,detected_lang,language_filter_reason,is_language_noise
2040941612600352834,2026-04-05 23:56:13+00:00,14,"IGRS:
Icardi, Gagliardini, Radja, &amp; Stefan. https://t.co/bwMuL4Z6Jf",2040941612600352834,https://pbs.twimg.com/media/HFLhkpibEAAOVIZ.jpg,,sl,,0,1,1,https://x.com/InteristaLK/status/2040941612600352834,1141531513634164736,InteristaLK,10,it,foreign_name_noise,True
2040932763671617679,2026-04-05 23:21:04+00:00,0,IGRS kontol,2040932763671617679,,,sl,,0,0,0,https://x.com/aguto_kun/status/2040932763671617679,560184086,aguto_kun,2,fi,too_short_leq_2_words,True
2040932427347136859,2026-04-05 23:19:44+00:00,0,IGRS kontol,2040932427347136859,,,sl,,0,0,0,https://x.com/BismillahSugih/status/2040932427347136859,769263608,BismillahSugih,2,fi,too_short_leq_2_words,True
2040931964161818862,2026-04-05 23:17:53+00:00,0,igrs nguaworr,2040931964161818862,,,in,,0,0,0,https://x.com/ivanprsty/status/2040931964161818862,1082198419,ivanprsty,2,tl,too_short_leq_2_words,True
2040924608363364703,2026-04-05 22:48:39+00:00,0,IGRS jumpboat,2040924608363364703,,,en,,0,0,0,https://x.com/Qilogram2420/status/2040924608363364703,1751137428365312000,Qilogram2420,2,lv,too_short_leq_2_words,True
2040910209686942104,2026-04-05 21:51:26+00:00,0,IGRS kontol,2040910209686942104,,,sl,,0,0,0,https://x.com/forsakencodm1/status/2040910209686942104,1838052466715447296,forsakencodm1,2,fi,too_short_leq_2_words,True
2040887230076784766,2026-04-05 20:20:08+00:00,0,IGRS TOLOL,2040887230076784766,,,sl,,0,0,0,https://x.com/kambingfirman/status/2040887230076784766,1120989625596596224,kambingfirman,2,en,too_short_leq_2_words,True
2040875397320171703,2026-04-05 19:33:07+00:00,0,IGRS kontol,2040875397320171703,,,sl,,0,0,0,https://x.com/hareeeessss/status/2040875397320171703,934197342743363584,hareeeessss,2,fi,too_short_leq_2_words,True
2040873160204337473,2026-04-05 19:24:13+00:00,7,"गजब igrs है,
जो @UPGovt की चल रही है,
विगत १० वर्ष5 से..
२०१६ से २०२६ तक ऐसा कोई लेखपाल या sdm  न आया जो दूध का दूध पानी का पानी कर सके,
@myogiadityanath  आभार आपका जो न्याय आपकी सरकार से प्राप्त हो रहा है। 🙏🏻
@DMKanpur https://t.co/s09Gqtw5RI",2040873160204337473,https://pbs.twimg.com/media/HFKi6gsacAAxf2N.jpg,,hi,,1,2,7,https://x.com/PSinghjadoun/status/2040873160204337473,714881671275745280,PSinghjadoun,66,hi,foreign_lang_metadata_hi,True
2040868311907574151,2026-04-05 19:04:57+00:00,1,IGRS kontol,2040868311907574151,,,sl,,0,0,0,https://x.com/rizkysbrnsyh/status/2040868311907574151,1083054525336829952,rizkysbrnsyh,2,fi,too_short_leq_2_words,True
2040867531213476008,2026-04-05 19:01:51+00:00,0,IGRS KONTOL,2040867531213476008,,,sl,,0,0,0,https://x.com/curiousfangs_/status/2040867531213476008,1526265008895586304,curiousfangs_,2,id,too_short_leq_2_words,True
2040859575214342208,2026-04-05 18:30:14+00:00,0,igrs tolol,2040859575214342208,,,sl,,0,0,0,https://x.com/akmlmar/status/2040859575214342208,2037194620690710528,akmlmar,2,en,too_short_leq_2_words,True
