Target,incoming_from_buzzer,total_weight,max_buzzer_prob,binary_label_gephi
AADGPodcast,1,1,0.0,Non-Buzzer
MoRifky,1,1,0.0,Non-Buzzer
PHN316,1,1,0.0,Non-Buzzer
RRDelusi,20,20,0.0,Non-Buzzer
ZonaKitten,1,1,0.0,Non-Buzzer
badakmeledak_,5,5,0.062129054218530655,Non-Buzzer
cryofantasia,8,8,0.0032799369655549526,Non-Buzzer
ezash,5,5,0.0,Non-Buzzer
iPoopBased,1,1,0.0,Non-Buzzer
junwatu,12,13,0.0,Non-Buzzer
kerissakti,12,13,0.18740445375442505,Non-Buzzer
kukuhya,18,18,0.014726724475622177,Non-Buzzer
kurawa,1,1,0.0,Non-Buzzer
mog_mediaa,11,11,0.0009245168184861541,Non-Buzzer
rayrestufauzi,17,17,0.0,Non-Buzzer
