term,score
tidak,53.85291931194926
masih,31.50215289114127
komdigi,28.117194573403626
indonesia,24.166018551160647
belum,24.10681457952977
orang,21.310292402856525
buzzer,21.228399342216946
sistem,21.078669557694358
the,18.766144579654135
bukan,18.74632386443673
resmi,18.639149505132394
anak,16.338399261881243
bikin,15.226531519209297
is,15.004143111972743
salah,14.783499692951132
main,13.203885920385838
system,13.014656322065001
data,12.604255325284427
tolol,12.593593005009525
self,12.528557249703834
biar,12.397299739354699
penjelasan,12.052912103056482
emang,11.982970095666435
pemerintah,11.7288815815567
to,11.524525840264408
final,11.046802705643715
pers,10.958043070437595
declare,10.896294479522703
jangan,10.832168976228798
self declare,10.627847985943651
of,10.579981660655855
siaran,10.564885801266989
wajar,10.476387329409073
tau,10.445927511907245
siaran pers,10.361035724499985
baca,10.35847179486001
in,10.122370021751706
belum final,10.064292967283327
pake,10.0260180005265
pemain,9.892394567232362
kontol,9.889779677245247
bahas,9.8585629640569
penyesuaian,9.784792171856727
and,9.666574863521452
kena,9.635142358878579
muda,9.589598241131279
umur,9.557456852248542
kasih,9.236237671248608
resminya,9.204416620918215
masuk,9.01992739863577
liat,8.995556817139136
developer,8.911389727244348
ngaco,8.79977117369984
esrb,8.764985877899635
bang,8.756218193675716
ngasih,8.265452976919759
bagus,8.102364044988295
dah,8.07133771987626
indo,7.97619759647769
anjing,7.9592672011613175
that,7.894425712729272
paham,7.830698550064588
beli,7.822037256552426
terkait,7.730124856799684
kerja,7.720262701403332
judol,7.612653554683371
proses,7.582064572077434
gara,7.451649064104235
pemain muda,7.447104709428333
muncul,7.4170467881294115
ratingnya,7.36540007012075
platform,7.353785055870918
tahap,7.341807998113651
si,7.341351549425058
sesuai,7.3206713094264
melindungi,7.166539463495743
gini,7.0167204867505975
aneh,6.960694706376499
deh,6.940680538658605
ekosistem,6.925952379788401
for,6.885302435937601
doang,6.879956398619431
gamer,6.873780137186992
this,6.826339521961094
negara,6.817432809207588
gamers,6.753906514470352
dibaca,6.69433453463027
cek,6.671544995668802
pegi,6.659723933321116
masih data,6.648096507566445
bilang,6.643044061574894
blokir,6.585824105727459
it,6.580142594702406
dapet,6.5266267476574376
rame,6.50843593170113
declare belum,6.490052010130462
goblok,6.456225613241127
gk,6.432189892269136
review,6.408431795883863
tujuannya,6.399319963395965
klarifikasi,6.299657750944184
mah,6.283803609433968
nyalahin,6.221580852413344
coba,6.199369683178111
rc,6.187605492997625
ngapain,6.113006319697775
kali,6.1087134425791385
palsu,6.100276825346559
maaf,6.086839319983714
publik,6.070886664521317
pers resmi,6.030525436958134
iarc,6.025732819273959
penjelasan resmi,6.006058914388523
pc,6.004621049048701
fuck,5.911731257835124
sok,5.889143995144705
mending,5.876647803928838
regulasi,5.875690284237895
boomer,5.866148444324736
kemarin,5.86133950470545
info,5.85334652417714
debat,5.775243851574987
klasifikasi,5.769967397738956
usia,5.738278861693768
yah,5.684641241695842
masih tahap,5.6798169289281075
komdongo,5.652814084789015
you,5.649015769963842
kek,5.643631876894647
what,5.596500188146601
kebijakan,5.590224293468509
isu,5.58121933967251
melindungi pemain,5.569396840998748
langsung,5.498454217292617
like,5.477818286379636
my,5.472144039228781
butuh,5.463069364946568
ngikutin,5.426365763300473
gooner,5.394203748070996
not,5.389776067599299
so,5.31927525952159
gitu,5.308612434022345
sampah,5.301483067781259
gaming,5.252733810347142
pers resminya,5.2391400339089165
bokep,5.237364778349287
rilis,5.198118518729497
gta,5.120337696289647
data self,5.102411597722246
mobile,5.099895300717744
games,5.079008475042046
dewasa,5.058790412483512
pas,5.00635765427311
malu,4.983577613094857
website,4.976778539775934
pakai,4.952054001822899
with,4.950508004846835
gamenya,4.944418249282587
lengkap,4.8763741210175535
tua,4.8588337835207405
they,4.83043601195258
mengikuti,4.829608572596443
be,4.821462625862836
fase,4.794110839133668
aturan,4.789409265085467
jujur,4.786644772548336
sistemnya,4.771215614630489
lihat,4.743489526182377
by,4.739547093226189
diskusi,4.733342895193573
penjelasan resminya,4.725041146193169
informasi,4.682397570530416
keliatan,4.6811728493247
we,4.678843345182197
age,4.661617895557687
isinya,4.651434548120815
loh,4.646419068369622
referensi,4.642708811064634
kesalahan,4.608392460574361
jg,4.568686213725306
wajar masih,4.566117879967753
link,4.542464270468447
valid,4.5381078496087595
tinggal,4.530006808019075
hasil,4.4913664936907285
tidak salah,4.475562674613537
kocak,4.458887108674414
yuk,4.456674494005241
tanpa,4.456674367415268
indonesian,4.452134168392725
program,4.4216600214636195
setuju,4.400948142651787
ngerti,4.397326945206093
isi,4.391785762759579
marah,4.378010398434351
hapus,4.327422611906595
gaben,4.317329005350899
an,4.3039006020478325
but,4.301478190325114
tujuan,4.286841257714653
user,4.266245711793356
as,4.26062445187575
gooning,4.248755489756492
rapi,4.245825094001928
trus,4.210221904588166
masih belum,4.210053002243073
can,4.206702176608147
rate,4.149409681297833
baca siaran,4.146546834586118
perbaikan,4.12943108878318
buka,4.114497125444994
politik,4.107412474791537
bro,4.099393053349502
ramai,4.073674703878492
kayaknya,4.045818739339873
sampe,4.04331335227081
store,4.036692427470011
btw,4.0365602316235405
wkwkwk,4.032131535313814
mas,4.030566953052522
bayar,4.021655294010355
percaya,4.012255289248974
benerin,4.000695361277253
konteksnya,3.997415284630867
tampilan,3.9677987394587677
pajak,3.9279712652176473
informasinya,3.9241976409421535
guys,3.9241797689026963
standar,3.897379925628022
konten,3.8889130107079892
wkwk,3.8828839557487376
konteks,3.8498071832079948
bukan resmi,3.8399681859741333
aman,3.8344845257400384
disesuaikan,3.81062225612643
market,3.7908707620349436
valve,3.7726518842695773
tp,3.7564552649680674
kaga,3.753514813251508
just,3.749159824305228
bingung,3.737173703707449
poin,3.7247647620751465
anies,3.7151976440177896
mbg,3.713008492996556
eh,3.6970955873735196
berita,3.6757183936420663
implementasi,3.669178239498674
tai,3.667280444434501
ngawur,3.654659872007354
emg,3.6532916066628633
ai,3.6121162649310414
ngaruh,3.607527655363138
akui,3.590729613898715
final wajar,3.5827030643520374
membingungkan,3.57640423475507
are,3.5755144212298857
kah,3.570252627982645
resmi terkait,3.5632850910223346
shit,3.562496025513412
transparan,3.560620980670235
fokus,3.5503423797414757
on,3.545570156009842
publisher,3.5435676500882227
cuman,3.5271583189145463
komunitas,3.525223356855775
rated,3.5075191519156697
perkara,3.4979152755655525
iya,3.466199529425346
kesimpulan,3.4413526496767703
no,3.4050547814715877
bermasalah,3.390908267240972
tim,3.3652038165744775
rakyat,3.346438864733253
dikasih,3.3456462010129107
lembaga,3.343986398265794
from,3.33808239363716
orang tua,3.326385072384702
silakan,3.3247941622550843
pengguna,3.311221017436578
noh,3.3055426448118586
dongo,3.2929575535126556
declare developer,3.2823758921680395
ngomong,3.2803188602215365
masih proses,3.2785129838051814
baiknya,3.265116974401572
semoga,3.2591786905153985
about,3.238431477838479
beredar,3.2372503728858146
kemkomdigi,3.2319903582829452
meluruskan,3.231626049385532
bawa,3.2277415334460846
akun,3.215834434002963
tangan,3.202113872104793
anjir,3.190836110525846
intinya,3.1812477942004214
sepenuhnya,3.1780421724662906
peak,3.16918852715619
because,3.155790719707279
alias,3.127267544142504
parah,3.116196406381861
dimana,3.1112543682326756
sumpah,3.0640365661780087
dirilis,3.0609858459245536
anak anak,3.0461194781377317
have,3.041678104626413
buzzernya,3.036634411464017
ngentot,3.0249287716077946
gede,2.9852345907573667
akurat,2.9741695931352963
salah paham,2.9614865167605338
wkwkw,2.9605179538302053
duit,2.9546779728212362
dev,2.9520095235577393
beneran,2.945219776379434
content,2.9354795392310833
nyawit,2.934021119562047
menata,2.9004860306357427
gooner system,2.894341737342221
digital,2.8849825980120727
penilaian,2.874875182327851
lg,2.863803028075107
keknya,2.8630663601679727
niatnya,2.86240207683644
block,2.8569057248736427
final masih,2.854358724983154
all,2.848076456609092
indonesia gooning,2.845244062407434
gooning system,2.845244062407434
oh,2.836347814636866
proses penyesuaian,2.8329681770011153
namanya,2.832287894194508
developer belum,2.8301985786176616
make,2.8289389454531584
tahap self,2.8175160956004506
lupa,2.791005896331624
masih penyesuaian,2.7902819189992316
babi,2.764958723354452
verifikasi,2.7633100860076025
belum pas,2.758832862613109
statement,2.7509213533021226
dipake,2.7216740159255033
menata ekosistem,2.7196037031023197
dibenahi,2.698905828184005
label,2.697645154327141
kayanya,2.6960324034945926
masih disesuaikan,2.677335483364473
muncul masih,2.6761683037141295
video,2.6746879615660597
kebanyakan,2.6717491037479135
ribut,2.6682555626175395
dipahami,2.6654354853554167
kriteria,2.658030318620924
or,2.655651928890731
dibilang,2.6484625484840327
mainin,2.6473867897081726
out,2.645185876281182
got,2.637347596220238
ulang,2.633755867491197
protes,2.616962239784837
konsisten,2.6069634401506567
your,2.606528929677609
sisi,2.589475178601698
if,2.5877994099079418
lucu,2.587187765599525
cocok,2.585852200077858
datanya,2.5789208816605194
update,2.5659067085388187
masih self,2.5600056684655117
karna,2.555786858712716
menarik,2.5483322742457353
wajar belum,2.548270880469283
berdasarkan,2.5385157626019756
diperbaiki,2.5349701601218637
bareng,2.529693013203877
panduan,2.5221212035995992
muda menata,2.504589019454519
acuan,2.503358952895389
transparansi,2.5018222360852094
bahan,2.500729682979913
kagak,2.4970747228897805
anggaran,2.491508382792324
sehat,2.4841494335451757
terbuka,2.4792103822573197
kacau,2.47550015194577
nukitashi,2.4725807244067215
people,2.4716003282214567
perlindungan,2.4657145442306483
jalan,2.4634917159316423
fucking,2.4606580495900587
mulu,2.4575405314913183
maen,2.45603744860373
sexual,2.454263486655006
dibaca biar,2.4528297697472143
hentai,2.4404671820848676
kelakuan,2.4399971090976025
indonesia gooner,2.439259981665259
tweet,2.4355194753055414
ekosistem wajar,2.434713946582688
one,2.431649847211
tag,2.428497144185381
sahabat,2.413675933981911
dunia,2.4124335524498046
wajar fase,2.4070660255387657
mayoritas,2.4021922332303762
lokal,2.4008656168188094
logika,2.395327093486191
tidak main,2.3883703124204496
kejadian,2.381994382375892
bela,2.374168694704752
uang,2.363503994966192
lindungi,2.3606942084486047
investigasi,2.3560158942922764
opini,2.348253316630252
industri,2.347298025106881
belajar,2.334831683663156
akal,2.3122176322097685
gara gara,2.302821120808648
kejanggalan,2.299935683277177
media,2.2961583468116347
nge,2.295347508209592
anj,2.293609951443607
dukung,2.2806219785473347
those,2.280371195091851
jir,2.2790909603336833
know,2.278662412453454
penasaran,2.276049481806168
sebenernya,2.275138396367803
produk,2.2747952270283345
think,2.272395074638197
unsur,2.2661720668231036
khusus,2.26327788990907
how,2.2478465753677748
blunder,2.2455975764623353
fase masih,2.2441080153904323
sistem masih,2.2440499742485156
manusia,2.2353546178081785
urus,2.2347380655087545
dibikin,2.22355189941819
diem,2.2155319936201874
full,2.215138988937506
emangnya,2.2143472804427007
pegi esrb,2.214207309777918
up,2.2125985721592576
orang orang,2.203487491697576
pasar,2.200998837342466
via,2.196798480799877
sexual content,2.1950306825036185
still,2.194694713460186
ngeliat,2.1904642613387786
abis,2.1894932828476823
tahap penyesuaian,2.1853714851476074
in the,2.1824070179336834
jelek,2.17932865673066
rutin,2.173967401287781
down,2.163897236884295
masuk akal,2.161775555116964
dlu,2.161427687180247
bodoh,2.159984252408037
senin,2.1536750844694836
pse,2.147686744429467
pribadi,2.1446990219108417
menarik kesimpulan,2.144508249732923
ato,2.1384482793270045
dibahas,2.1367995061091407
resmi pemerintah,2.130083488201125
belum hasil,2.1299438107737356
even,2.116852114852528
yaa,2.110261692006756
